case no,ground truth,synthesizer verdict,synthesizer confidence,validator verdict,validator confidence,final verdict,final confidence,match,error type
0000,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0001,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0002,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0003,SAFE,SAFE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0004,SAFE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0005,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0006,VULNERABLE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0007,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0008,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0009,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,YES,None
0010,VULNERABLE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0011,VULNERABLE,SAFE,MEDIUM,SAFE,HIGH,SAFE,HIGH,NO,FN
0012,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0013,SAFE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0014,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0015,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0016,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0017,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0018,SAFE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0019,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0020,VULNERABLE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0021,VULNERABLE,SAFE,MEDIUM,SAFE,HIGH,SAFE,HIGH,NO,FN
0022,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0023,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0024,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0025,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,YES,None
0026,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0027,SAFE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0028,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0029,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0030,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0031,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0032,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0033,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0034,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0035,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0036,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0037,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0038,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0039,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0040,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0041,VULNERABLE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0042,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0043,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0044,SAFE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0045,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0046,VULNERABLE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0047,SAFE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0048,SAFE,SAFE,MEDIUM,SAFE,HIGH,SAFE,MEDIUM,YES,None
0049,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
