case no,ground truth,synthesizer verdict,synthesizer confidence,validator verdict,validator confidence,final verdict,final confidence,match,error type
0000,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0001,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0002,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0003,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0004,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0005,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0006,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0007,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0008,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0009,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0010,SAFE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0011,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0012,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0013,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0014,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0015,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0016,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0017,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0018,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0019,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0020,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0021,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0022,SAFE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0023,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,UNKNOWN,MEDIUM,N/A,UNDECIDED
0024,SAFE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0025,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0026,VULNERABLE,SAFE,MEDIUM,SAFE,MEDIUM,SAFE,MEDIUM,NO,FN
0027,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0028,SAFE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0029,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0030,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0031,SAFE,SAFE,HIGH,SAFE,MEDIUM,SAFE,MEDIUM,YES,None
0032,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0033,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0034,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,UNKNOWN,MEDIUM,N/A,UNDECIDED
0035,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0036,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0037,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0038,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,UNKNOWN,MEDIUM,N/A,UNDECIDED
0039,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0040,SAFE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0041,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0042,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0043,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0044,VULNERABLE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0045,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0046,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0047,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0048,SAFE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0049,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0050,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0051,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0052,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0053,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0054,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0055,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0056,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0057,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0058,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0059,SAFE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0060,SAFE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0061,VULNERABLE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0062,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0063,VULNERABLE,SAFE,MEDIUM,SAFE,MEDIUM,SAFE,HIGH,NO,FN
0064,VULNERABLE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0065,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0066,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0067,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0068,SAFE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0069,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0070,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0071,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0072,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0073,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0074,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0075,SAFE,SAFE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0076,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0077,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0078,VULNERABLE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,NO,FN
0079,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0080,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0081,VULNERABLE,SUSPICIOUS,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0082,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0083,SAFE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0084,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0085,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,YES,None
0086,SAFE,SAFE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0087,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0088,SAFE,SAFE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0089,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,MEDIUM,YES,None
0090,SAFE,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0091,VULNERABLE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0092,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0093,SAFE,SAFE,HIGH,SAFE,HIGH,SAFE,HIGH,YES,None
0094,VULNERABLE,SUSPICIOUS,MEDIUM,SUSPICIOUS,MEDIUM,VULNERABLE,MEDIUM,YES,None
0095,SAFE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0096,SAFE,MEDIUM,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,NO,FP
0097,VULNERABLE,VULNERABLE,HIGH,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
0098,SAFE,SAFE,HIGH,VULNERABLE,MEDIUM,VULNERABLE,MEDIUM,NO,FP
0099,VULNERABLE,VULNERABLE,MEDIUM,VULNERABLE,HIGH,VULNERABLE,HIGH,YES,None
